Mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,0,0.05,0,nan,nan,0,20.860637110557764,101.83276317130816,nan
0.001,0,0.05,1,nan,nan,0,20.48250583222161,99.64397407189053,nan
0.001,0,0.05,2,nan,nan,0,20.401767517071917,100.13366115470306,nan
0.001,0,0.05,3,nan,nan,0,20.072835055114037,98.98674933512758,nan
0.001,0,0.05,4,nan,nan,0,20.817278895398953,112.38764581770859,nan
0.001,0,0.05,5,nan,nan,0,20.74085332985094,103.35320855698046,nan
0.001,0,0.05,6,nan,nan,0,20.55030958459385,100.14018185112403,nan
0.001,0,0.05,7,nan,nan,0,20.189725913272714,100.88906130130118,nan
0.001,0,0.05,8,nan,nan,0,20.20123613292456,103.72665007175223,nan
0.001,0.5,0.05,0,0.5517925614261026,3.065921572220298,13,20.458724286776327,134.2812650317211,62.09246735358794
0.001,0.5,0.05,1,0.24854434754199362,2.6863751794679085,39,19.987849062988953,136.63434552793964,96.47752263915861
0.001,0.5,0.05,2,1.00449262384502,3.0116676012311627,98,20.770392417046196,124.22560125570013,130.1367744648797
0.001,0.5,0.05,3,nan,nan,0,20.507309707879532,103.48365709617029,nan
0.001,0.5,0.05,4,nan,nan,0,20.560533136201972,104.55531597021266,nan
0.001,0.5,0.05,5,nan,nan,0,20.239395837657398,98.63198949141842,nan
0.001,0.5,0.05,6,nan,nan,0,20.787233400423343,99.49725697212644,nan
0.001,0.5,0.05,7,nan,nan,0,20.786428739141822,99.62962686102397,nan
0.001,0.5,0.05,8,0.3758004509306244,2.919604515582411,9,20.601242347727485,117.18217810393621,133.0963969746992
0.001,1,0.05,0,1.2678492690412468,2.754239422970731,56,19.994413557628686,140.8004494566343,136.64915030112232
0.001,1,0.05,1,0.5957538858088387,2.3540592765512764,62,19.64118717589345,132.94420556943143,87.17010459685467
0.001,1,0.05,2,1.146023643994663,3.1001045376729306,27,20.97611237526001,136.7497960590264,133.8231655863505
0.001,1,0.05,3,0.625511496703932,2.608896595687693,30,20.080563698613492,134.45495325493357,136.78372352904182
0.001,1,0.05,4,0.4671606806259816,2.4940214082595102,42,20.231723095502446,131.04218725828974,113.8916653253961
0.001,1,0.05,5,0.24654452550262218,2.263533588135316,8,20.57407386179486,110.69843345984576,87.14119253191262
0.001,1,0.05,6,0.28885870042834383,2.3376759971481738,25,20.420510683263185,128.56959773654376,35.15626164825146
0.001,1,0.05,7,0.17929922497209033,2.1855878688175716,21,20.534161589745477,128.79935813913835,142.39986652089732
0.001,1,0.05,8,0.4410082465569043,2.736927617057464,48,20.486914722627134,149.1287372623088,23.886101566805138
0.001,0,0.2,0,0.7353768487642685,2.602200130506309,78,81.75798809583777,108.64617100792135,42.7621628457554
0.001,0,0.2,1,1.697712730205627,2.951299634575405,148,80.87445803720088,112.68009671275068,86.97623785005467
0.001,0,0.2,2,1.260668190616072,2.2721517864280045,99,82.20210204955332,112.461192076131,54.29071300036562
0.001,0,0.2,3,1.3697460868122067,2.89156228063871,124,81.69407545955826,118.54614797203347,119.21697732036388
0.001,0,0.2,4,1.3342914692887031,2.7648541009616694,140,82.9192431868579,117.5574032913565,50.23925173629995
0.001,0,0.2,5,0.841452391860229,2.9004038676682,111,81.3165991862447,109.60195714122837,108.13584509130587
0.001,0,0.2,6,1.075869532385768,2.7079986822672826,104,81.61301493650951,110.55595127921691,107.42922040658323
0.001,0,0.2,7,1.682986888987966,2.662986714300863,210,82.47049186837938,119.38739251199564,40.17689572055814
0.001,0,0.2,8,2.5337265619590146,2.604539804750358,63,82.50648069630654,104.8394849553518,71.5575104262816
0.001,0.5,0.2,0,2.1634547714373493,3.0041387716423684,197,80.67003198849667,130.86575325719429,106.18371867778582
0.001,0.5,0.2,1,1.424618302787698,2.848706953471351,215,80.95193595410768,132.9877974101005,119.96908282513883
0.001,0.5,0.2,2,1.089886250056445,3.0142611901117244,119,81.91074018691138,129.16805068619666,59.85506836355148
0.001,0.5,0.2,3,1.2795746209648127,2.870582348432882,228,80.37671052976623,137.10051754325343,68.72732831130318
