mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position

0.001,0.5,0.05,4,1,0.3035354596483486,2.389007399784171,58.043710351988985
0.001,0.5,0.05,4,2,0.3035354596483486,2.389007399784171,53.44196063756936
0.001,0.5,0.05,4,3,0.3035354596483486,2.389007399784171,46.56090814922038
0.001,0.5,0.05,4,4,0.3035354596483486,2.389007399784171,51.284808075854144
0.001,0.5,0.05,4,5,0.3035354596483486,2.389007399784171,76.50637241058648
0.001,0.5,0.05,4,6,0.3035354596483486,1.4093812746210617,47.828868220158455
0.001,0.5,0.05,4,7,0.3035354596483486,2.389007399784171,82.34403299017224
0.001,0.5,0.05,4,8,0.3035354596483486,2.389007399784171,47.093792844329954
0.001,0.5,0.05,4,9,0.3035354596483486,2.389007399784171,50.69651473899828
0.001,0.5,0.05,4,10,0.3035354596483486,2.389007399784171,77.96477348859821
0.001,0.5,0.05,4,11,0.3035354596483486,2.389007399784171,40.9515130589528
0.001,0.5,0.05,4,12,0.3035354596483486,2.389007399784171,57.05631868978482
0.001,0.5,0.05,4,13,0.3035354596483486,2.389007399784171,63.044066010547766
0.001,0.5,0.05,4,14,0.3035354596483486,2.389007399784171,51.984469879430684
0.001,0.5,0.05,4,15,0.3035354596483486,2.389007399784171,76.61707393751134
0.001,0.5,0.05,4,16,0.3035354596483486,2.389007399784171,47.92816036553571
0.001,0.5,0.05,4,17,0.3035354596483486,2.389007399784171,62.41309417248002
0.001,0.5,0.05,4,18,0.3035354596483486,2.389007399784171,59.05472371679928
0.001,0.5,0.05,4,19,0.3035354596483486,2.389007399784171,69.99790571064426
0.001,0.5,0.05,4,20,0.3035354596483486,2.389007399784171,43.36418070948069
0.001,0.5,0.05,4,21,0.3035354596483486,2.389007399784171,35.32248539976694
0.001,0.5,0.05,4,22,0.3035354596483486,2.389007399784171,53.05158807805905
0.001,0.5,0.05,4,23,0.3035354596483486,2.389007399784171,51.812838785367816
0.001,0.5,0.05,4,24,0.3035354596483486,2.389007399784171,68.97172087256685
0.001,0.5,0.05,4,25,0.3035354596483486,2.389007399784171,36.968400886549134
0.001,0.5,0.05,4,26,0.3035354596483486,2.389007399784171,44.267035351426514
0.001,0.5,0.05,4,27,0.3035354596483486,2.389007399784171,42.53616145155301
0.001,0.5,0.05,4,28,0.3035354596483486,2.389007399784171,41.467789818407674
0.001,0.5,0.05,4,29,0.3035354596483486,2.389007399784171,67.39235363741275
0.001,0.5,0.05,4,30,0.3035354596483486,2.389007399784171,69.13762241911536
0.001,0.5,0.05,4,31,0.3035354596483486,2.389007399784171,53.218950034997874
0.001,0.5,0.05,4,32,0.3035354596483486,2.389007399784171,59.50385006963249
0.001,0.5,0.05,4,33,0.3035354596483486,2.389007399784171,69.92740957571833
0.001,0.5,0.05,4,34,0.3035354596483486,2.389007399784171,50.296695100871666
0.001,0.5,0.05,4,35,0.3035354596483486,2.389007399784171,40.04552268597149
0.001,0.5,0.05,4,36,0.3035354596483486,2.389007399784171,69.38041008446733
0.001,0.5,0.05,4,37,6.06397787611199,2.389007399784171,13.506927816704033
0.001,0.5,0.05,4,38,0.3035354596483486,2.389007399784171,74.19084697526299
0.001,0.5,0.05,4,39,0.3035354596483486,2.389007399784171,47.858646079006355
0.001,0.5,0.05,4,40,0.3035354596483486,2.389007399784171,51.09391433958534
