mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x
0.001,0,0.9,0,1.4959278547826187,2.983921079434331,623,250.45121992171565,482.6312989114374,78.88594327680879
0.001,0,0.9,1,2.1292436447527554,2.8931874621913805,760,236.92065015015572,475.28710579190454,77.39380271015955
0.001,0,0.9,2,1.5904139537362367,2.9254703998248064,780,241.7645416416605,477.86672793514805,78.49834136613029
0.001,0,0.9,3,1.4854669591291798,2.885866973042904,867,237.97889652800913,478.2021068026634,81.99616873875875
0.001,0,0.9,4,1.6676010467741513,2.917817355701616,764,250.62981096418932,480.0557521166212,77.28238578149835
0.001,0,0.9,5,1.7901803276315147,3.0382872377264376,911,243.90441646582605,479.8664858794203,78.07452079128363
0.001,0,0.9,6,1.6831528973996817,2.7999435435075872,707,241.5477860929054,479.5466921034751,77.62807347016103
0.001,0,0.9,7,2.1466881387150023,3.008101135962276,989,249.7605375122303,482.3414661673858,73.69567066384812
0.001,0,0.9,8,1.9307040055512485,2.743808679106475,585,258.57771579395,477.61650708490157,78.18573669167914
0.001,0.5,0.9,0,1.5521164855236058,2.985161000042476,786,240.487985755906,483.3485716444173,76.54502085064702
0.001,0.5,0.9,1,2.0426240861606186,3.031594745767753,852,259.1055209557449,495.2418047505252,77.9528932551729
0.001,0.5,0.9,2,1.3152941718372027,2.839492876432767,809,269.6626135107964,488.70283399246756,81.33383091334295
0.001,0.5,0.9,3,1.6638331074673012,3.084537770526392,825,258.300282804582,493.3452910805463,79.96391701567381
0.001,0.5,0.9,4,1.8723265091237948,2.9351456521356964,727,237.11546074617203,480.1933996113533,76.67820728073885
0.001,0.5,0.9,5,1.3942158264755804,2.9175943295436153,722,252.29573914688083,487.36702786437473,78.71733091292076
0.001,0.5,0.9,6,1.4345847432416876,3.002851474743471,637,233.70257511553342,477.49616218680427,80.95326456325843
0.001,0.5,0.9,7,1.6445095658784536,2.7452695128776625,821,263.8223457667553,487.80658151629734,81.16106923972809
0.001,0.5,0.9,8,1.7653645657421342,2.965655615350252,879,258.875360300792,492.0910367752701,78.31900360432029
0.001,1,0.9,0,1.7926120935913419,3.0608006149361255,639,235.34149292012876,477.7195880663547,81.01336235068393
0.001,1,0.9,1,1.586325680514887,2.9763041806581834,747,270.3520081682767,492.577609397557,78.6063931872701
0.001,1,0.9,2,1.4452869429559771,2.9405349829835923,769,249.88005203177607,487.1238377737497,76.52299278772934
0.001,1,0.9,3,1.978779411729704,3.025727661158831,731,247.6470806670662,484.3630104954755,78.18103407059992
0.001,1,0.9,4,1.8849566161083342,2.897482487881136,939,256.7342708737351,487.3058454368147,80.42637766791486
0.001,1,0.9,5,1.3983030955833446,2.98508181249104,842,245.3968232864548,488.96286191434876,76.65249157175963
0.001,1,0.9,6,2.269802563317736,2.8261383637661464,837,237.01314525962204,481.9020604678007,79.73908779805545
0.001,1,0.9,7,1.2632116425901143,2.8369247550435626,881,251.56279234298282,488.45114440600696,83.47358352180207
0.001,1,0.9,8,1.8699348861131773,3.0476841493031372,775,218.59988353263873,480.0990046084308,80.72032467871433
0.001,0,0.5,0,1.2088223135454805,2.9052604484078133,310,130.86605114046517,449.5953201054247,81.86613883017999
0.001,0,0.5,1,0.8335724109890903,3.0934113362320352,324,131.75605421493228,448.02627932201966,75.07688798441954
0.001,0,0.5,2,0.8179861815294596,2.468495100406567,409,153.8801124352477,467.15729471645005,77.4771751827532
0.001,0,0.5,3,1.1052802418874623,2.7862686931466,401,127.22301649621885,446.77083877492305,82.33216797430697
0.001,0,0.5,4,0.7757910633433749,2.809809043248268,424,147.81098160588655,458.12208518454094,77.9697995301339
0.001,0,0.5,5,1.0091138485614473,2.839200315115723,366,134.26844024602664,447.03806185781156,76.38936485087083
0.001,0,0.5,6,1.0112516072465347,2.92008366075853,370,147.48402878301405,456.1889632263274,79.46241071145317
0.001,0,0.5,7,1.1452666305009234,2.957494013675846,391,143.6801955985514,452.9896007767603,79.06868695929293
0.001,0,0.5,8,1.052135125401635,2.464060649910185,305,119.12016871068546,441.48437833848675,80.09148873476838
0.001,0.5,0.5,0,0.8460440342035044,2.960592132723278,247,114.67384359162367,474.6187126647348,85.05375001940153
0.001,0.5,0.5,1,0.7790034059886841,2.7717183543181614,403,119.5892694720516,479.47097622820337,75.72114837600563
0.001,0.5,0.5,2,1.0440930174377507,3.0595001762481115,379,148.63251254600473,476.9930512640553,81.44853139213629
0.001,0.5,0.5,3,nan,nan,0,147.67517528584884,412.0409215228695,nan
0.001,0.5,0.5,4,1.107674041224787,2.81776487570447,329,114.54355566155355,458.52068174573037,68.26184777289639
0.001,0.5,0.5,5,0.8366026347156691,2.716967251323555,430,139.84659626446572,473.33479062696455,80.9422954578946
0.001,0.5,0.5,6,1.4260937742363284,2.9836181814241582,451,161.95413800365833,467.1298743298,67.5167091370155
0.001,0.5,0.5,7,1.2084641952185147,2.898880334493095,305,100.11034397683665,456.65605064110963,63.960551891673454
0.001,0.5,0.5,8,0.6600970592393967,2.5859358487540813,265,117.48032762328366,477.01112435554444,80.33648627918262
0.001,1,0.5,0,1.389622028831069,3.0199525298183496,258,103.15051112527615,467.1941578097817,84.5714473421967
0.001,1,0.5,1,0.7922499513987697,2.915029186172377,417,179.6176455456395,483.2228493460246,79.90032436179962
0.001,1,0.5,2,0.6408879406604558,2.833235453676211,379,150.17086971466594,488.5731649842632,80.80201344992193
0.001,1,0.5,3,1.0189422002162547,3.0730034895429554,375,152.34501673580723,489.88472086939,80.71186417084964
0.001,1,0.5,4,0.9816839104001575,2.9382108453693236,364,125.12393747692694,482.83409115977076,75.11077396775447
0.001,1,0.5,5,1.516733929816625,3.003028232706577,392,124.9050992279315,479.8921438552014,76.4753661183986
0.001,1,0.5,6,1.2666505664535004,2.889058386757466,411,143.0512202395362,477.80783212589404,77.84750321310273
0.001,1,0.5,7,1.3113605437003282,2.9351343957234985,352,146.11195097261722,473.7135802581881,63.99274308813242
0.001,1,0.5,8,1.6845399449951681,3.070361943667016,257,100.5313963847061,459.0451479192547,56.52321595270003
0.001,0,0.2,0,nan,nan,0,71.59963651976321,412.0409215228695,nan
0.001,0,0.2,1,0.6269816928641946,2.407087247803629,85,56.070493153348544,426.4711387930671,86.82445158064063
0.001,0,0.2,2,nan,nan,0,90.00771446208469,412.04092152286955,nan
0.001,0,0.2,3,0.45968319491524384,2.659884201538523,43,57.07639836177971,437.0586847335412,67.16034124062176
0.001,0,0.2,4,nan,nan,0,67.6229745370708,412.04092152286955,nan
0.001,0,0.2,5,0.8613658017244795,2.3118967068484166,36,48.70672469841688,420.31084738325126,66.61412158127976
0.001,0,0.2,6,0.5304610909386079,2.632811264976026,116,52.74842835446497,426.4177965426461,73.2906336651366
0.001,0,0.2,7,1.1092628935636835,2.997011809244425,70,52.31754784231038,423.22266906618336,82.25496148561496
0.001,0,0.2,8,0.7199012244924718,2.444232451462628,56,54.83554450543635,421.25777134632574,72.95525116755185
0.001,0.5,0.2,0,nan,nan,0,58.8816816480287,412.0409215228695,nan
0.001,0.5,0.2,1,nan,nan,0,50.78793870790014,412.04092152286955,nan
0.001,0.5,0.2,2,0.2928995817180856,1.7331001288877304,106,48.397647317049014,475.80232335157876,84.8152685351779
0.001,0.5,0.2,3,0.7345514246306065,2.6266203974738698,183,79.25333102716348,462.9770825307389,80.04535351841757
0.001,0.5,0.2,4,0.5158719145103207,2.9262674301494727,7,22.760466165765653,412.04092152286944,57.47059303696722
0.001,0.5,0.2,5,nan,nan,0,54.39924432423894,412.0409215228695,nan
0.001,0.5,0.2,6,0.3609010448745964,2.0470700098236807,36,40.369119421598164,440.8004571225135,77.47602374083895
0.001,0.5,0.2,7,0.6872300959811289,2.34960045994249,210,66.34669672180917,457.22478341227423,83.6907147604328
0.001,0.5,0.2,8,0.6776472004831166,3.004299843408863,114,62.66095024561611,460.1821354692618,55.605627567092405
0.001,1,0.2,0,0.7717343286414095,2.8956897201009038,116,41.21072243967415,448.2513305255338,52.664697552974026
0.001,1,0.2,1,0.5408573015427136,2.683403476263899,79,42.63774012258308,463.70504855761845,52.50989455450987
0.001,1,0.2,2,nan,nan,0,43.28353157327453,412.04092152286955,nan
0.001,1,0.2,3,nan,nan,0,35.64727207195109,412.0409215228695,nan
0.001,1,0.2,4,0.4931974522079132,3.101663371443037,198,76.06270023670115,481.00880705049406,73.07743445037643
0.001,1,0.2,5,nan,nan,0,30.29585943735859,412.0409215228696,nan
0.001,1,0.2,6,1.0890852985476895,3.1353737133940256,44,20.885756811005756,452.9196967879019,53.85890694672044
0.001,1,0.2,7,1.157009145732943,3.0392328152740933,186,48.4943627841826,460.88747871269067,71.69882623342296
0.001,1,0.2,8,0.3603120235936936,2.6369725039063936,55,31.785873040956265,471.753626526348,70.0430518843869
0.001,0,0.05,0,nan,nan,0,16.37237445888364,412.0409215228696,nan
0.001,0,0.05,1,nan,nan,0,20.388261771856968,412.04092152286944,nan
0.001,0,0.05,2,nan,nan,0,18.126380130258124,412.0409215228696,nan
0.001,0,0.05,3,nan,nan,0,17.5265174961693,412.0409215228696,nan
