mass (kg),autocorrelation,suitable habitat,run,step mean,mean divergence,population size,mean resources,mean regrowth,mean x

0.001,0,0.9,0,0.04055121784602116,1.1830878635966455,7536,374.9572385858114,412.0409215228696,4.880504148866761
0.001,0,0.9,1,0.048821062227232336,2.2006984646702983,7437,374.95723858581135,412.0409215228696,5.067812876759118
0.001,0,0.9,2,0.07619311523672387,1.9171599289261665,7561,374.9572385858114,412.0409215228696,5.312377023674539
0.001,0,0.9,3,0.0398714225316802,1.250366396570835,7629,374.95723858581135,412.0409215228696,4.919535620214078
0.001,0,0.9,4,1.2409234044844777,2.2722312958763453,7669,374.9572385858114,412.0409215228696,4.914469030025814
0.001,0,0.9,5,0.9752238598310178,2.6555358511061877,7470,374.9572385858113,412.0409215228696,5.125861952003572
0.001,0,0.9,6,0.079467417338536,2.2551462881516273,7376,374.95723858581135,412.0409215228696,4.82159710421376
0.001,0,0.9,7,0.5124913588112254,2.2538813504339275,7507,374.95723858581135,412.0409215228696,5.048612137500621
0.001,0,0.9,8,0.07290974420610041,1.6879848657788472,7545,374.9572385858114,412.0409215228696,5.076375045792186
0.001,0.5,0.9,0,0.042814177735660985,2.116667293973773,7460,374.9572385858114,412.0409215228696,5.222189004234387
0.001,0.5,0.9,1,0.1247623018102182,1.768826011636414,7474,374.9572385858114,412.0409215228696,5.205904971136573
0.001,0.5,0.9,2,0.04318182069052095,1.9653951796810687,7497,374.9572385858113,412.0409215228696,4.6014516602304605
0.001,0.5,0.9,3,0.04352266623405402,1.5745168613687859,7506,374.95723858581135,412.0409215228696,4.721173438887886
0.001,0.5,0.9,4,0.037665459880040206,1.2881820456238484,7425,374.95723858581135,412.0409215228696,4.684956218126527
0.001,0.5,0.9,5,0.046046080682385214,2.0806722154006083,7492,374.95723858581135,412.0409215228696,4.628688216149623
0.001,0.5,0.9,6,0.07639679269125138,1.5330407446126497,7404,374.95723858581135,412.0409215228696,4.732305225253387
0.001,0.5,0.9,7,0.06726628906660881,1.3385013227058118,7393,374.9572385858114,412.0409215228696,5.131152651271084
0.001,0.5,0.9,8,0.06170767603660813,1.3280004761978776,7428,374.95723858581135,412.0409215228696,5.1400686611024495
0.001,1,0.9,0,0.04601509318164379,1.7078458735506414,7577,374.9572385858114,412.0409215228696,5.1738942586844425
0.001,1,0.9,1,0.05480183416083134,2.3580781121628593,7461,374.9572385858114,412.0409215228696,5.24388447573561
0.001,1,0.9,2,0.03198357661727402,1.24084593265674,7492,374.95723858581135,412.0409215228696,5.357317117631077
0.001,1,0.9,3,0.0548158975556647,1.6427578031554233,7471,374.95723858581135,412.0409215228696,4.7258456470949435
0.001,1,0.9,4,0.09916087900775393,1.3253636521806684,7479,374.9572385858114,412.0409215228696,5.016208972602143
0.001,1,0.9,5,0.09404364196293975,1.7486362094827277,7489,374.9572385858114,412.0409215228696,4.833245416477333
0.001,1,0.9,6,0.047514034169576315,1.1831067773914075,7568,374.9572385858114,412.0409215228696,5.28774561488114
0.001,1,0.9,7,0.09214501865224965,2.1255126336754886,7459,374.9572385858114,412.0409215228696,4.8882566445988695
0.001,1,0.9,8,0.03621990003651014,1.426651592311546,7436,374.95723858581135,412.0409215228696,4.6914175301605345
0.001,0,0.5,0,0.06847173138981752,1.900859894150925,3920,206.02046076143472,412.04092152286955,4.337948016966775
0.001,0,0.5,1,0.006911975968114562,1.3255232273813302,4128,206.02046076143478,412.04092152286955,5.645140907110337
0.001,0,0.5,2,0.0060139524341731605,0.9828714351478048,4096,206.02046076143478,412.04092152286955,4.75367963035265
0.001,0,0.5,3,0.009754315372511266,1.516894367086274,3977,206.02046076143478,412.04092152286955,4.237076433056096
0.001,0,0.5,4,0.018042396903784962,2.165483699756625,3985,206.02046076143478,412.04092152286955,4.948939418296594
0.001,0,0.5,5,0.00955066683171957,1.8261667672737547,4168,206.02046076143478,412.04092152286955,4.948766206650669
0.001,0,0.5,6,0.010788355232110275,2.4049728934798256,4066,206.02046076143478,412.04092152286955,5.669855453268502
0.001,0,0.5,7,0.011467645018732308,2.176190387385706,4019,206.02046076143478,412.04092152286955,4.583851976113387
0.001,0,0.5,8,0.008816902296125688,2.211556014331326,4143,206.02046076143478,412.04092152286955,4.025181166921904
0.001,0.5,0.5,0,0.010598781204196453,1.6090670331807368,4147,206.02046076143472,412.04092152286955,5.929752466152487
0.001,0.5,0.5,1,0.005784900236048725,2.1030190410342855,4048,206.0204607614348,412.04092152286955,4.976034929750494
0.001,0.5,0.5,2,0.005677116490633616,2.269345807278987,4092,206.02046076143472,412.04092152286955,4.760581953763874
0.001,0.5,0.5,3,0.00844523310369585,1.9025355159542006,4198,206.0204607614348,412.04092152286955,3.8389430019050006
0.001,0.5,0.5,4,0.014068549307445243,1.1463045769561893,4065,207.11781037195556,405.4568238597447,2.786723799524508
0.001,0.5,0.5,5,0.017073201070935812,1.7447329719177376,3906,206.0204607614348,412.04092152286955,3.9197418950981016
0.001,0.5,0.5,6,0.006135416778036357,1.5559956005274904,4086,206.02046076143478,412.04092152286955,3.608702019366626
0.001,0.5,0.5,7,0.010036156353890085,1.9260797109839742,3960,206.02046076143472,412.04092152286955,4.893737181667533
0.001,0.5,0.5,8,0.005153668165237349,2.0810391930671197,4048,206.02046076143478,412.04092152286955,7.149349187462997
0.001,1,0.5,0,0.013247069517279083,1.818296229577961,3951,206.02046076143478,412.04092152286955,4.166799863839471
0.001,1,0.5,1,0.012638373548316562,1.2583377274441798,4038,206.02046076143478,412.04092152286955,4.8491123106082945
0.001,1,0.5,2,0.006759447217053143,1.658065085849805,4111,206.02046076143472,412.04092152286955,6.212993246518283
0.001,1,0.5,3,0.01191990444766784,2.3640278373512236,3946,206.0204607614348,412.04092152286955,3.3085637141294026
