mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position

0.001,0,0.05,3,1,0.004604187233694379,2.398300278998925,1.2010872685046876
0.001,0,0.05,3,2,0.004604187233694379,2.398300278998925,0.8538734246414751
0.001,0,0.05,3,3,0.004604187233694379,0.6825169036643571,0.14649803867604694
0.001,0,0.05,3,4,0.004604187233694379,1.0982127793194552,1.8064741411374174
0.001,0,0.05,3,5,0.004604187233694379,1.8873401182149896,0.44407106503640337
0.001,0,0.05,3,6,0.004604187233694379,1.8873401182149896,0.7779861936269287
0.001,0,0.05,3,7,0.004604187233694379,2.398300278998925,1.0977053768925882
0.001,0,0.05,3,8,0.004604187233694379,2.398300278998925,0.11974244804376288
0.001,0,0.05,3,9,0.004604187233694379,2.398300278998925,0.19513716412032822
0.001,0,0.05,3,10,0.004604187233694379,1.8873401182149896,1.019206989205004
0.001,0,0.05,3,11,0.004604187233694379,2.398300278998925,1.84236431145154
0.001,0,0.05,3,12,0.004604187233694379,2.398300278998925,0.7605552086850181
0.001,0,0.05,3,13,0.004604187233694379,0.6825169036643571,0.34568797711407206
0.001,0,0.05,3,14,0.004604187233694379,2.398300278998925,0.9123862057445494
0.001,0,0.05,3,15,0.004604187233694379,1.8873401182149896,0.9373402938737241
0.001,0,0.05,3,16,0.004604187233694379,2.398300278998925,0.2885537809685338
0.001,0,0.05,3,17,0.004604187233694379,2.398300278998925,0.511347374798985
0.001,0,0.05,3,18,0.004604187233694379,0.6825169036643571,0.34568797711407206
0.001,0,0.05,3,19,0.004604187233694379,2.398300278998925,1.0914668335552156
0.001,0,0.05,3,20,0.004604187233694379,2.398300278998925,0.16187357322242835
0.001,0,0.05,3,21,0.004604187233694379,2.398300278998925,0.769343616089325
0.001,0,0.05,3,22,0.004604187233694379,2.398300278998925,0.9439185161902189
0.001,0,0.05,3,23,0.004604187233694379,2.398300278998925,0.9439185161902189
0.001,0,0.05,3,24,0.004604187233694379,0.6825169036643571,0.12004927933674314
0.001,0,0.05,3,25,0.004604187233694379,0.6825169036643571,0.10498401952224845
0.001,0,0.05,3,26,0.004604187233694379,2.398300278998925,1.0914668335552156
0.001,0,0.05,3,27,0.004604187233694379,2.398300278998925,0.1528942819847704
0.001,0,0.05,3,28,0.004604187233694379,0.6825169036643571,1.559062645910221
0.001,0,0.05,3,29,0.004604187233694379,2.398300278998925,0.4081663977737471
0.001,0,0.05,3,30,0.004604187233694379,2.398300278998925,1.0977053768925882
0.001,0,0.05,3,31,0.004604187233694379,1.8873401182149896,0.05141004227228885
0.001,0,0.05,3,32,0.004604187233694379,2.398300278998925,0.7118679086805185
0.001,0,0.05,3,33,0.004604187233694379,0.6825169036643571,0.32978742724376253
0.001,0,0.05,3,34,0.004604187233694379,2.398300278998925,1.876173068379481
0.001,0,0.05,3,35,0.004604187233694379,2.398300278998925,2.3477956386405294
0.001,0,0.05,3,36,0.004604187233694379,0.6825169036643571,0.34568797711407206
0.001,0,0.05,3,37,0.004604187233694379,0.6825169036643571,0.4745254211651374
0.001,0,0.05,3,38,0.004604187233694379,2.398300278998925,0.7257287170051444
0.001,0,0.05,3,39,0.004604187233694379,2.398300278998925,0.7739442751533154
0.001,0,0.05,3,40,0.004604187233694379,2.398300278998925,1.876173068379481
0.001,0,0.05,3,41,0.004604187233694379,2.398300278998925,0.9149223284121017
0.001,0,0.05,3,42,0.004604187233694379,2.398300278998925,1.5751368437923075
0.001,0,0.05,3,43,0.004604187233694379,2.398300278998925,0.7704867191135273
0.001,0,0.05,3,44,0.004604187233694379,2.398300278998925,0.5762427238084538
0.001,0,0.05,3,45,0.004604187233694379,2.398300278998925,2.635465736346877
0.001,0,0.05,3,46,0.004604187233694379,2.398300278998925,1.0914668335552156
0.001,0,0.05,3,47,0.004604187233694379,2.398300278998925,1.5435167970023203
0.001,0,0.05,3,48,0.004604187233694379,1.0982127793194552,1.55845606012954
0.001,0,0.05,3,49,0.004604187233694379,0.6825169036643571,1.4099030303005187
0.001,0,0.05,3,50,0.004604187233694379,2.398300278998925,0.426857737644571
0.001,0,0.05,3,51,0.004604187233694379,2.398300278998925,0.33992380676783274
0.001,0,0.05,3,52,0.004604187233694379,0.6825169036643571,0.34568797711407206
0.001,0,0.05,3,53,0.004604187233694379,2.398300278998925,0.07459421988680998
0.001,0,0.05,3,54,0.004604187233694379,0.6825169036643571,0.16040847701063005
0.001,0,0.05,3,55,0.004604187233694379,2.398300278998925,2.2435485449396095
0.001,0,0.05,3,56,0.004604187233694379,1.8873401182149896,1.019206989205004
0.001,0,0.05,3,57,0.004604187233694379,2.398300278998925,0.11600428136201954
0.001,0,0.05,3,58,0.004604187233694379,1.0982127793194552,2.388346845125408
0.001,0,0.05,3,59,0.004604187233694379,2.398300278998925,0.353801075280522
0.001,0,0.05,3,60,0.004604187233694379,2.398300278998925,0.1526814132532186
0.001,0,0.05,3,61,0.004604187233694379,2.398300278998925,1.2499071233858454
0.001,0,0.05,3,62,0.004604187233694379,2.398300278998925,0.4938222451646227
0.001,0,0.05,3,63,0.004604187233694379,2.398300278998925,0.7326250271326215
0.001,0,0.05,3,64,0.004604187233694379,2.398300278998925,0.7118679086805185
0.001,0,0.05,3,65,0.004604187233694379,2.398300278998925,0.11974244804376288
0.001,0,0.05,3,66,0.004604187233694379,0.6825169036643571,1.1695004155762767
0.001,0,0.05,3,67,0.004604187233694379,1.8873401182149896,0.9373402938737241
0.001,0,0.05,3,68,0.004604187233694379,2.398300278998925,0.2772948929000153
0.001,0,0.05,3,69,0.004604187233694379,2.398300278998925,0.449353430660976
0.001,0,0.05,3,70,0.004604187233694379,2.398300278998925,0.030272347845585967
0.001,0,0.05,3,71,0.004604187233694379,2.398300278998925,0.449353430660976
0.001,0,0.05,3,72,0.004604187233694379,2.398300278998925,0.7111926727914921
0.001,0,0.05,3,73,0.004604187233694379,2.398300278998925,0.5297056487016807
0.001,0,0.05,3,74,0.004604187233694379,1.8873401182149896,1.4480263339078838
0.001,0,0.05,3,75,0.004604187233694379,2.398300278998925,0.9149223284121017
0.001,0,0.05,3,76,0.004604187233694379,0.7408102814581475,1.3903392115218691
0.001,0,0.05,3,77,0.004604187233694379,0.7408102814581475,1.3903392115218691
0.001,0,0.05,3,78,0.004604187233694379,0.6825169036643571,1.2957136700714336
0.001,0,0.05,3,79,0.004604187233694379,2.398300278998925,0.948937237432165
0.001,0,0.05,3,80,0.004604187233694379,0.6825169036643571,0.4903810360075499
0.001,0,0.05,3,81,0.004604187233694379,2.398300278998925,1.5772122476314285
0.001,0,0.05,3,82,0.004604187233694379,1.6633901382353213,0.518050865665015
0.001,0,0.05,3,83,0.004604187233694379,2.398300278998925,0.6255735629757057
0.001,0,0.05,3,84,0.004604187233694379,1.0982127793194552,1.6719733721496703
0.001,0,0.05,3,85,0.004604187233694379,2.398300278998925,0.9149223284121017
0.001,0,0.05,3,86,0.004604187233694379,2.398300278998925,0.5006030710104205
0.001,0,0.05,3,87,0.004604187233694379,2.398300278998925,0.6763939755922804
0.001,0,0.05,3,88,0.004604187233694379,1.0982127793194552,1.55845606012954
0.001,0,0.05,3,89,0.004604187233694379,1.8873401182149896,1.019206989205004
0.001,0,0.05,3,90,0.004604187233694379,1.0982127793194552,1.55845606012954
0.001,0,0.05,3,91,0.004604187233694379,2.398300278998925,0.5110843388623567
0.001,0,0.05,3,92,0.004604187233694379,2.398300278998925,0.8987746687708581
0.001,0,0.05,3,93,0.004604187233694379,0.6825169036643571,0.6030781311699133
0.001,0,0.05,3,94,0.004604187233694379,1.0982127793194552,1.6719733721496703
0.001,0,0.05,3,95,0.004604187233694379,2.398300278998925,0.2772948929000153
0.001,0,0.05,3,96,0.004604187233694379,1.6633901382353213,0.33161320846085796
0.001,0,0.05,3,97,0.004604187233694379,2.398300278998925,1.0977053768925882
0.001,0,0.05,3,98,0.004604187233694379,2.398300278998925,1.7712937542582687
0.001,0,0.05,3,99,0.004604187233694379,2.398300278998925,0.11132810183151443
0.001,0,0.05,3,100,0.004604187233694379,1.8873401182149896,1.2378498646186054
0.001,0,0.05,4,1,0.0008914162485385013,0.8566512571352911,6.160231892449481
0.001,0,0.05,4,2,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,3,0.0008914162485385013,2.862850996301516,6.667305531410692
0.001,0,0.05,4,4,0.0008914162485385013,2.862850996301516,6.248504985575319
0.001,0,0.05,4,5,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,6,0.0008914162485385013,0.8644878185081014,6.8852679213551164
0.001,0,0.05,4,7,0.0008914162485385013,0.4877216030815423,6.803851281973883
0.001,0,0.05,4,8,0.0008914162485385013,2.862850996301516,6.793751684758915
0.001,0,0.05,4,9,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,10,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,11,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,12,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,13,0.0008914162485385013,2.862850996301516,4.858546341813971
0.001,0,0.05,4,14,0.0008914162485385013,2.862850996301516,6.872533688606126
0.001,0,0.05,4,15,0.0008914162485385013,0.4877216030815423,6.160231892449481
0.001,0,0.05,4,16,0.0008914162485385013,2.3670885477121977,6.410607544879475
